benchname,class,runtime
vrf_verify_ct,0,1041971
vrf_verify_ct,0,1047806
vrf_verify_ct,0,1037180
vrf_verify_ct,0,1039471
vrf_verify_ct,0,1037888
vrf_verify_ct,0,1043763
vrf_verify_ct,0,1041139
vrf_verify_ct,0,1046221
vrf_verify_ct,0,1041929
vrf_verify_ct,0,1038847
vrf_verify_ct,0,1035305
vrf_verify_ct,0,1048388
vrf_verify_ct,0,1040138
vrf_verify_ct,0,1049763
vrf_verify_ct,0,1039638
vrf_verify_ct,0,1090306
vrf_verify_ct,0,1037888
vrf_verify_ct,0,1031763
vrf_verify_ct,0,1067764
vrf_verify_ct,0,1033263
vrf_verify_ct,0,1052930
vrf_verify_ct,0,1030013
vrf_verify_ct,0,1072889
vrf_verify_ct,0,1032055
vrf_verify_ct,0,1064847
vrf_verify_ct,0,1038305
vrf_verify_ct,0,1034222
vrf_verify_ct,0,1045722
vrf_verify_ct,0,1065847
vrf_verify_ct,0,1033055
vrf_verify_ct,0,1040055
vrf_verify_ct,0,1038638
vrf_verify_ct,0,1071055
vrf_verify_ct,0,1034097
vrf_verify_ct,0,1048930
vrf_verify_ct,0,1035388
vrf_verify_ct,0,1081514
vrf_verify_ct,0,1041889
vrf_verify_ct,0,1029638
vrf_verify_ct,0,1035805
vrf_verify_ct,0,1061430
vrf_verify_ct,0,1052055
vrf_verify_ct,0,1034764
vrf_verify_ct,0,1031055
vrf_verify_ct,0,1035680
vrf_verify_ct,0,1032471
vrf_verify_ct,0,1065597
vrf_verify_ct,0,1039305
vrf_verify_ct,0,1041639
vrf_verify_ct,0,1049180
vrf_verify_ct,0,1043680
vrf_verify_ct,0,1034680
vrf_verify_ct,0,1037555
vrf_verify_ct,0,1054764
vrf_verify_ct,0,1038054
vrf_verify_ct,0,1044055
vrf_verify_ct,0,1033388
vrf_verify_ct,0,1032555
vrf_verify_ct,0,1038389
vrf_verify_ct,0,1039305
vrf_verify_ct,0,1053388
vrf_verify_ct,0,1049638
vrf_verify_ct,0,1037513
vrf_verify_ct,0,1039555
vrf_verify_ct,0,1045472
vrf_verify_ct,0,1042013
vrf_verify_ct,0,1037221
vrf_verify_ct,0,1054514
vrf_verify_ct,0,1039180
vrf_verify_ct,0,1193682
vrf_verify_ct,0,1061556
vrf_verify_ct,0,1284308
vrf_verify_ct,0,1035054
vrf_verify_ct,0,1072388
vrf_verify_ct,0,1069264
vrf_verify_ct,0,1051555
vrf_verify_ct,0,1037305
vrf_verify_ct,0,1038054
vrf_verify_ct,0,1048013
vrf_verify_ct,0,1041055
vrf_verify_ct,0,1039305
vrf_verify_ct,0,1062930
vrf_verify_ct,0,1036596
vrf_verify_ct,0,1044555
vrf_verify_ct,0,1040055
vrf_verify_ct,0,1037680
vrf_verify_ct,0,1042221
vrf_verify_ct,0,1033472
vrf_verify_ct,0,1056180
vrf_verify_ct,0,1030346
vrf_verify_ct,0,1062555
vrf_verify_ct,0,1032471
vrf_verify_ct,0,1039013
vrf_verify_ct,0,1030305
vrf_verify_ct,0,1045680
vrf_verify_ct,0,1054180
vrf_verify_ct,0,1037388
vrf_verify_ct,0,1059139
vrf_verify_ct,0,1038472
vrf_verify_ct,0,1047805
vrf_verify_ct,0,1035889
vrf_verify_ct,0,1039429
vrf_verify_ct,0,1032930
vrf_verify_ct,0,1086847
vrf_verify_ct,0,1037388
vrf_verify_ct,0,1056555
vrf_verify_ct,0,1038513
vrf_verify_ct,0,1046763
vrf_verify_ct,0,1045180
vrf_verify_ct,0,1042055
vrf_verify_ct,0,1041347
vrf_verify_ct,0,1053388
vrf_verify_ct,0,1038763
vrf_verify_ct,0,1047805
vrf_verify_ct,0,1076138
vrf_verify_ct,0,1040638
vrf_verify_ct,0,1042472
vrf_verify_ct,0,1066972
vrf_verify_ct,0,1044930
vrf_verify_ct,0,1053930
vrf_verify_ct,0,1061889
vrf_verify_ct,0,1050513
vrf_verify_ct,0,1042596
vrf_verify_ct,0,1042555
vrf_verify_ct,0,1041097
vrf_verify_ct,0,1037888
vrf_verify_ct,0,1034596
vrf_verify_ct,0,1042847
vrf_verify_ct,0,1044847
vrf_verify_ct,0,1044972
vrf_verify_ct,0,1036096
vrf_verify_ct,0,1039389
vrf_verify_ct,0,1042055
vrf_verify_ct,0,1042763
vrf_verify_ct,0,1041680
vrf_verify_ct,0,1050013
vrf_verify_ct,0,1035388
vrf_verify_ct,0,1036722
vrf_verify_ct,0,1043638
vrf_verify_ct,0,1036763
vrf_verify_ct,0,1044222
vrf_verify_ct,0,1269224
vrf_verify_ct,0,1076472
vrf_verify_ct,0,1048596
vrf_verify_ct,0,1259350
vrf_verify_ct,0,1039680
vrf_verify_ct,0,1047263
vrf_verify_ct,0,1054097
vrf_verify_ct,0,1063513
vrf_verify_ct,0,1036429
